,Url,Oferta,Cena,Umeblowane,Powierzchnia,Liczba pokoi
116,https://www.olx.pl/oferta/wynajme-mieszkanie-3-pokojowe-centrum-lodzi-CID3-IDFi3tX.html#c306ff6027,Wynajmę mieszkanie 3 pokojowe Centrum Łodzi,2070,1,57.0,3
117,https://www.otodom.pl/oferta/mieszkanie-zielony-romanow-z-garazem-69-m2-ID45ZZy.html?,Mieszkanie Zielony Romanów z garażem 69 m2,3050,1,69.0,2
118,https://www.olx.pl/oferta/rentaroom-pl-speak-eng-nowoczesne-studio-z-balkonem-ul-mackiewicza-CID3-IDAyT6F.html#c306ff6027,RENTAROOM.PL Speak Eng nowoczesne studio z balkonem ul.Mackiewicza,1400,1,17.0,1
119,https://www.olx.pl/oferta/wakacje-30-rentaroom-pl-speak-eng-manufaktura-studio-ul-mackiewicza-CID3-IDCJTqe.html#c306ff6027,WAKACJE -30% RENTAROOM.PL Speak Eng Manufaktura studio ul.Mackiewicza,1100,1,18.0,1
120,https://www.olx.pl/oferta/wynajme-przytulne-mieszkanie-m-2-27m2-bezposrednio-CID3-IDDSoqg.html#c306ff6027,Wynajmę przytulne mieszkanie M-2 (27m2) bezpośrednio!,1350,1,27.0,1
121,https://www.olx.pl/oferta/mieszkanie-w-centrum-150m-od-piotrkowskiej-centralne-ogrzewanie-CID3-IDEG5DH.html#c306ff6027,Mieszkanie w centrum 150m od Piotrkowskiej. centralne ogrzewanie,1400,1,45.0,2
122,https://www.olx.pl/oferta/kawalerka-do-wynajecia-lodz-widzew-32-8-m2-CID3-IDFkXwr.html#c306ff6027,Kawalerka do wynajęcia. Łódź-Widzew. 32.8 m2,1350,1,32.8,1
123,https://www.olx.pl/oferta/wynajme-m3-w-blokach-w-centrum-od-zaraz-CID3-IDBwhPf.html#c306ff6027,Wynajme m3 w blokach. w centrum od zaraz,1620,1,42.0,2
124,https://www.olx.pl/oferta/kawalerka-z-balkonem-ul-nowopolska-CID3-IDFkXbt.html#c306ff6027,Kawalerka z balkonem. ul. Nowopolska,1260,1,25.0,1
125,https://www.olx.pl/oferta/wynajme-mieszkanie-lodz-polesie-CID3-IDFhXEa.html#c306ff6027,Wynajmę mieszkanie- Łódź. Polesie,1501,1,38.0,2
126,https://www.olx.pl/oferta/mieszkanie-2-pokojowe-gandhiego-CID3-IDFkW02.html#c306ff6027,Mieszkanie 2 pokojowe  Gandhiego.,1520,1,43.0,2
127,https://www.otodom.pl/oferta/m3-bisko-centrum-ID45ZTw.html?,M3 bisko Centrum,1550,1,38.0,2
128,https://www.olx.pl/oferta/2-pokoje-nowe-mieszkanie41-7m2-ul-wodna-CID3-IDFdIah.html#c306ff6027,2 pokoje.*nowe mieszkanie*41.7m2* ul. Wodna,1860,1,41.7,2
129,https://www.olx.pl/oferta/kawalerka20-5-m2ul-wodnaod-zaraz-CID3-IDFdILq.html#c306ff6027,Kawalerka*20.5 m2*ul. Wodna*od zaraz,1250,1,20.5,1
130,https://www.olx.pl/oferta/nowa-kawalerkaod-zaraz20-3-m2ul-wodna-CID3-IDFdIpB.html#c306ff6027,Nowa kawalerka*od zaraz*20.3 m2*ul. Wodna,1310,1,20.3,1
131,https://www.olx.pl/oferta/mieszkanie-wynajem-CID3-IDFkR7T.html#c306ff6027,Mieszkanie wynajem,2200,1,56.0,2
